symptoms,Left_endpoint,Right_endpoint ,S,1-S,SE,Epidemic_periods
limb-pain,0,0,0.0501,0.9499,0.0059,Omicron_period-2022
limb-pain,1,1,0.0251,0.9749,0.0044,Omicron_period-2022
limb-pain,2,2,0.0209,0.9791,0.004,Omicron_period-2022
limb-pain,3,3,0.0192,0.9808,0.0039,Omicron_period-2022
limb-pain,6,6,0.0134,0.9866,0.0033,Omicron_period-2022
limb-pain,12,30,0.0045,0.9955,0.0028,Omicron_period-2022
limb-pain,36,36,0.0044,0.9956,0.0038,Omicron_period-2022
limb-pain,.,0,1,0,0,Omicron_period-2024
limb-pain,0,0,0.0746,0.9254,0.0161,Omicron_period-2024
limb-pain,1,2,0.0432,0.9568,0.0126,Omicron_period-2024
limb-pain,3,6,0.0353,0.9647,0.0114,Omicron_period-2024
